TAZ_index_1,TAZ_index_2,Dis_TAZ
15,38,2242.905354
15,39,2833.835639
15,40,3609.795621
15,41,7620.295126
15,42,6713.337308
15,43,5836.856843
15,44,5006.885041
15,45,4250.752617
15,46,3615.093057
15,47,3173.152661
15,48,3011.461076
15,49,3173.152661
15,50,3615.093057
15,51,4250.752617
15,52,8069.849582
15,53,7219.589482
15,54,6412.680585
15,55,5667.669034
15,56,5012.232266
15,57,4485.807874
15,58,4137.930918
15,59,4015.279851
15,60,4137.930918
15,61,4485.807874
15,62,5012.232266
15,63,8613.439678
15,64,7822.489571
15,65,7084.584891
15,66,6418.04823
15,67,5847.336409
15,68,5402.901358
15,69,5117.747853
15,70,5019.097836
15,71,5117.747853
15,72,5402.901358
15,73,5847.336409
16,0,5099.770435
16,1,4124.034249
16,2,3163.488342
16,3,2237.779813
16,4,1416.91866
16,5,1003.821941
16,6,1416.91866
16,7,2237.779813
16,8,8000
16,9,7000
16,10,6000
16,11,5000
16,12,4000
16,13,3000
16,14,2000
16,15,1000
16,16,0
16,17,1000
16,18,2000
16,19,8062.732595
16,20,7071.609216
16,21,6083.391891
16,22,5099.770279
16,23,4124.034057
16,24,3163.488091
16,25,2237.779458
16,26,1416.9181
16,27,1003.82115
16,28,1416.9181
16,29,2237.779458
16,30,8248.067921
16,31,7282.21288
16,32,6326.975931
16,33,5388.007463
16,34,4475.55856
16,35,3609.795621
16,36,2833.835639
16,37,2242.905354
16,38,2007.641508
16,39,2242.905354
16,40,2833.835639
16,41,8548.034734
16,42,7620.295126
16,43,6713.337308
16,44,5836.856843
16,45,5006.885041
16,46,4250.752617
16,47,3615.093057
16,48,3173.152661
16,49,3011.461076
16,50,3173.152661
16,51,3615.093057
16,52,8951.115701
16,53,8069.849582
16,54,7219.589482
16,55,6412.680585
16,56,5667.669034
16,57,5012.232266
16,58,4485.807874
16,59,4137.930918
16,60,4015.279851
16,61,4137.930918
16,62,4485.807874
16,63,9444.11685
16,64,8613.439678
16,65,7822.489571
16,66,7084.584891
16,67,6418.04823
16,68,5847.336409
16,69,5402.901358
16,70,5117.747853
16,71,5019.097836
16,72,5117.747853
16,73,5402.901358
17,0,6083.392022
17,1,5099.770435
17,2,4124.034249
17,3,3163.488342
17,4,2237.779813
17,5,1416.91866
17,6,1003.821941
17,7,1416.91866
17,8,9000
17,9,8000
17,10,7000
17,11,6000
17,12,5000
17,13,4000
17,14,3000
17,15,2000
17,16,1000
17,17,0
17,18,1000
17,19,9055.80791
17,20,8062.732595
17,21,7071.609216
17,22,6083.391891
17,23,5099.770279
17,24,4124.034057
17,25,3163.488091
17,26,2237.779458
17,27,1416.9181
17,28,1003.82115
17,29,1416.9181
17,30,9221.20515
17,31,8248.067921
17,32,7282.21288
17,33,6326.975931
17,34,5388.007463
17,35,4475.55856
17,36,3609.795621
17,37,2833.835639
17,38,2242.905354
17,39,2007.641508
17,40,2242.905354
17,41,9490.463519
17,42,8548.034734
17,43,7620.295126
17,44,6713.337308
17,45,5836.856843
17,46,5006.885041
17,47,4250.752617
17,48,3615.093057
17,49,3173.152661
17,50,3011.461076
17,51,3173.152661
17,52,9855.073429
17,53,8951.115701
17,54,8069.849582
17,55,7219.589482
17,56,6412.680585
17,57,5667.669034
17,58,5012.232266
17,59,4485.807874
17,60,4137.930918
17,61,4015.279851
17,62,4137.930918
17,63,10304.91839
17,64,9444.11685
17,65,8613.439678
17,66,7822.489571
17,67,7084.584891
17,68,6418.04823
17,69,5847.336409
17,70,5402.901358
17,71,5117.747853
17,72,5019.097836
17,73,5117.747853
18,0,7071.609328
18,1,6083.392022
18,2,5099.770435
18,3,4124.034249
18,4,3163.488342
18,5,2237.779813
18,6,1416.91866
18,7,1003.821941
18,8,10000
18,9,9000
18,10,8000
18,11,7000
18,12,6000
18,13,5000
18,14,4000
18,15,3000
18,16,2000
18,17,1000
18,18,0
18,19,10050.25656
18,20,9055.80791
18,21,8062.732595
18,22,7071.609216
18,23,6083.391891
18,24,5099.770279
18,25,4124.034057
18,26,3163.488091
18,27,2237.779458
18,28,1416.9181
18,29,1003.82115
18,30,10199.5404
18,31,9221.20515
18,32,8248.067921
18,33,7282.21288
18,34,6326.975931
18,35,5388.007463
18,36,4475.55856
18,37,3609.795621
18,38,2833.835639
18,39,2242.905354
18,40,2007.641508
18,41,10443.60559
18,42,9490.463519
18,43,8548.034734
18,44,7620.295126
18,45,6713.337308
18,46,5836.856843
18,47,5006.885041
18,48,4250.752617
18,49,3615.093057
18,50,3173.152661
18,51,3011.461076
18,52,10776.01375
18,53,9855.073429
18,54,8951.115701
18,55,8069.849582
18,56,7219.589482
18,57,6412.680585
18,58,5667.669034
18,59,5012.232266
18,60,4485.807874
18,61,4137.930918
18,62,4015.279851
